index,unixTimestamp,TP9,AF7,AF8,TP10
9,1746312966062.4062,-16.6015625,-36.1328125,-29.78515625,-58.10546875
10,1746312966066.3125,-38.57421875,-44.43359375,-34.1796875,-66.89453125
11,1746312966070.2188,-33.69140625,-41.015625,-37.59765625,-56.15234375
0,1746312966074.125,-20.01953125,-48.828125,-35.15625,-45.41015625
1,1746312966078.0312,-33.203125,-52.734375,-31.25,-48.33984375
2,1746312966081.9375,-28.80859375,-41.015625,-36.1328125,-46.875
3,1746312966085.8438,-21.484375,-38.0859375,-41.50390625,-48.33984375
4,1746312966089.75,-24.90234375,-38.57421875,-43.45703125,-39.55078125
5,1746312966093.6562,-35.15625,-41.9921875,-34.1796875,-39.0625
6,1746312966097.5625,-48.828125,-48.33984375,-30.2734375,-50.29296875
7,1746312966101.4688,-47.8515625,-39.55078125,-21.97265625,-26.85546875
8,1746312966105.375,-40.52734375,-38.0859375,-28.3203125,-22.94921875
9,1746312966109.2812,-35.15625,-52.24609375,-38.57421875,-53.7109375
10,1746312966113.1875,-46.38671875,-52.24609375,-27.83203125,-61.5234375
11,1746312966117.0938,-47.8515625,-49.8046875,-22.94921875,-50.29296875
0,1746312966121,-29.78515625,-41.50390625,-26.85546875,-41.9921875
1,1746312966124.9062,-27.34375,-34.66796875,-32.71484375,-40.0390625
2,1746312966128.8125,-43.9453125,-37.109375,-32.2265625,-37.59765625
3,1746312966132.7188,-51.26953125,-42.96875,-29.296875,-32.2265625
4,1746312966136.625,-47.36328125,-39.55078125,-30.76171875,-37.109375
5,1746312966140.5312,-35.64453125,-38.57421875,-30.2734375,-47.36328125
6,1746312966144.4375,-20.5078125,-41.9921875,-25.390625,-55.17578125
7,1746312966148.3438,-27.83203125,-37.59765625,-23.4375,-57.6171875
8,1746312966152.25,-18.06640625,-38.57421875,-22.94921875,-37.109375
9,1746312966156.1562,-6.34765625,-40.0390625,-26.3671875,-24.4140625
10,1746312966160.0625,-24.90234375,-37.59765625,-31.73828125,-43.45703125
11,1746312966163.9688,-40.0390625,-36.1328125,-32.71484375,-41.015625
0,1746312966167.875,-29.296875,-34.1796875,-28.80859375,-20.01953125
1,1746312966171.7812,-18.06640625,-36.62109375,-27.34375,-41.9921875
2,1746312966175.6875,-23.4375,-38.0859375,-34.1796875,-49.8046875
3,1746312966179.5938,-27.83203125,-41.50390625,-31.25,-41.9921875
4,1746312966183.5,-32.71484375,-45.8984375,-28.3203125,-40.0390625
5,1746312966187.4062,-27.83203125,-40.52734375,-30.76171875,-20.01953125
6,1746312966191.3125,-27.34375,-42.48046875,-42.96875,-34.66796875
7,1746312966195.2188,-42.96875,-46.875,-58.59375,-54.19921875
8,1746312966199.125,-49.8046875,-47.36328125,-50.78125,-62.5
9,1746312966203.0312,-40.0390625,-50.78125,-33.203125,-51.26953125
10,1746312966206.9375,-25.390625,-45.8984375,-29.296875,-52.24609375
11,1746312966210.8438,-47.8515625,-44.43359375,-33.203125,-66.89453125
0,1746312966214.75,-54.6875,-56.640625,-39.0625,-49.31640625
1,1746312966218.6562,-38.57421875,-61.03515625,-43.45703125,-46.38671875
2,1746312966222.5625,-38.57421875,-46.38671875,-36.1328125,-55.6640625
3,1746312966226.4688,-46.38671875,-33.69140625,-34.66796875,-71.77734375
4,1746312966230.375,-42.96875,-41.015625,-38.57421875,-87.40234375
5,1746312966234.2812,-37.59765625,-39.55078125,-31.25,-72.265625
6,1746312966238.1875,-38.0859375,-33.203125,-31.73828125,-41.50390625
7,1746312966242.0938,-32.71484375,-35.64453125,-33.203125,-46.875
8,1746312966246,-30.2734375,-34.1796875,-32.2265625,-61.03515625
9,1746312966249.9062,-29.296875,-34.66796875,-34.66796875,-50.29296875
10,1746312966253.8125,-31.25,-44.43359375,-32.2265625,-47.36328125
11,1746312966257.7188,-35.15625,-52.734375,-37.59765625,-77.63671875
0,1746312966261.625,-41.9921875,-47.36328125,-38.57421875,-76.66015625
1,1746312966265.5312,-50.29296875,-40.52734375,-34.1796875,-49.8046875
2,1746312966269.4375,-44.43359375,-43.45703125,-34.1796875,-46.38671875
3,1746312966273.3438,-27.34375,-41.50390625,-38.57421875,-38.57421875
4,1746312966277.25,-18.5546875,-33.69140625,-43.45703125,-36.62109375
5,1746312966281.1562,-34.66796875,-32.71484375,-43.9453125,-67.3828125
6,1746312966285.0625,-41.9921875,-33.69140625,-37.59765625,-61.5234375
7,1746312966288.9688,-30.2734375,-27.34375,-24.4140625,-42.48046875
8,1746312966292.875,-28.3203125,-36.1328125,-31.73828125,-39.55078125
9,1746312966296.7812,-31.73828125,-49.8046875,-41.015625,-41.50390625
10,1746312966300.6875,-36.62109375,-46.38671875,-33.69140625,-49.8046875
11,1746312966304.5938,-25.87890625,-42.96875,-25.87890625,-44.921875
0,1746312966308.5,-31.73828125,-42.48046875,-17.08984375,-41.015625
